quote_date,expire_date,dte,v,psi,p,c,v_tilde
2023-12-29,2024-01-12,14.0,0.01072143568276651,-0.30961196958620074,0.8981841422668307,0.2317926817725149,0.0074699152446672055
2023-12-29,2024-01-16,18.0,0.009846181287190238,-0.28731319646293196,0.9343902017045458,0.23944344137939877,0.00720180432813181
2023-12-29,2024-01-17,19.0,0.008846900501985187,-0.35412664311944547,0.9618061485436883,0.24820791560862335,0.005153748769755509
2023-12-29,2024-01-18,20.0,0.010231877470630455,-0.3218134176225257,0.8711450308942341,0.22481644871298054,0.006696049976681355
2023-12-29,2024-01-19,21.0,0.009873702927585808,-0.2900660884213941,0.8657674117526392,0.22353678247420633,0.007105836148475693
2023-12-29,2024-01-22,24.0,0.009750645885247137,-0.32237336381288867,0.8690091457229768,0.22426241809719952,0.006359507761009559
2023-12-29,2024-01-23,25.0,0.010169214508315521,-0.3223681833245039,0.8689951837182335,0.2242588252146028,0.006632421949840765
2023-12-29,2024-01-24,26.0,0.010464749191395548,-0.2985958267058066,0.8733652234520572,0.22545760850943147,0.007389071425786227
2023-12-29,2024-01-26,28.0,0.010994468695189571,-0.31011117874162625,0.8689616072843624,0.22448530169139058,0.007527383897311371
2023-12-29,2024-01-29,31.0,0.010591231181925077,-0.32233548946525736,0.8689070521727148,0.2242360813867512,0.0069076637246069505
2023-12-29,2024-01-31,33.0,0.010930289717991386,-0.2905322432812598,0.8594583481700879,0.22180309064689704,0.007945846931862155
2023-12-29,2024-02-02,35.0,0.011968258001619063,-0.31319349570976657,0.8692856422826294,0.22500601082174718,0.008127840475339165
2023-12-29,2024-02-05,38.0,0.011425719201117072,-0.26522966550298904,0.8654492387609447,0.2270469521167234,0.008863445370486231
2023-12-29,2024-02-09,42.0,0.013027868454036428,-0.3215652864289617,0.8687931419398006,0.2243222006162096,0.00852738639905854
2023-12-29,2024-02-12,45.0,0.012282887512234065,-0.3151718741353442,0.8686611890816406,0.22418356012456772,0.008292319844938622
2023-12-29,2024-02-16,49.0,0.013824897832396913,-0.2916349739932886,0.862401855307394,0.2225681555999734,0.010011204818969978
2023-12-29,2024-02-29,62.0,0.013155922773350625,-0.25254083918766235,0.8015575099110777,0.21127466106662068,0.01042953528532252
2023-12-29,2024-03-15,76.96,0.013676818025182716,-0.295926143941323,0.8766483393411938,0.2507319624735782,0.009991758721150224
2023-12-29,2024-03-28,89.96,0.014866351541021915,-0.3095307818076431,0.8686861209509276,0.22420394167981886,0.010242789048271993
2023-12-29,2024-04-19,111.96,0.01491812472505756,-0.2909638219519861,0.872283306587032,0.2402715744215194,0.010789662732461269
2023-12-29,2024-04-30,122.96,0.015070078820776605,-0.2569115076289108,0.9671957257596464,0.2297022127570332,0.011333355607402512
2023-12-29,2024-05-17,139.96,0.01594299499881397,-0.27233243851541744,0.94690012829381,0.21163870969920662,0.011442466785429027
2023-12-29,2024-05-31,153.96,0.016568440358299488,-0.31467833128464745,0.8745672418428146,0.2506647514413981,0.011118841866014272
2023-12-29,2024-06-21,174.96,0.017561592735973096,-0.32028145633111443,0.8749522428423083,0.22605388640230173,0.011599916060412867
2023-12-29,2024-06-28,181.96,0.017721760730153226,-0.3047954676485791,0.8908046962309242,0.23804390211093862,0.012185247074376824
2023-12-29,2024-07-19,202.96,0.0178320253084536,-0.30218335453429895,0.950618280593714,0.2541088698668292,0.011722601367940889
2023-12-29,2024-08-16,230.96,0.018433046545230012,-0.31181768232682866,0.956701177218347,0.25223626455927334,0.012533839639837698
2023-12-29,2024-09-20,265.96,0.01950421568479461,-0.3233124398790518,0.9022749534168726,0.2317261115890611,0.012817594193031287
2023-12-29,2024-09-30,275.96,0.01987429527735657,-0.33697480341613983,0.8878568240732098,0.23287979607340473,0.012772363848825222
2023-12-29,2024-10-18,293.96,0.020369936985837327,-0.3356212564524619,0.8776762868939211,0.24417775917561402,0.012884451702817585
2023-12-29,2024-11-15,322.0,0.021618778465987778,-0.33036444756703875,0.9057992715474044,0.24801610726627837,0.013030142650078898
2023-12-29,2024-12-20,357.0,0.02260253613613589,-0.33691868571790834,0.8839480429864143,0.23285377420000175,0.01427029520313966
2023-12-29,2025-01-17,385.0,0.022699793159345612,-0.3200037652570173,0.8767281636714498,0.2490698204649502,0.014718600751695622
2023-12-29,2025-03-21,447.96,0.02347284738891725,-0.340413476711651,0.8721744448997236,0.26767313667072606,0.01366464740210853
2023-12-29,2025-06-20,538.96,0.025340250260642048,-0.35012250718366644,0.7919741983214775,0.501503259752457,0.015727117339783905
